name,ring,quadrant,isNew,description;;;
"API expand-contract (swagger),Adopt,Techniques,TRUE,""<p>The <strong>API expand-contract</strong> pattern, sometimes called <a href=""""https://www.martinfowler.com/bliki/ParallelChange.html"""">parallel change</a>, will be familiar to many, especially when used with databases or code";" however, we only see low levels of adoption with APIs. Specifically, we're seeing complex versioning schemes and breaking changes used in scenarios where a simple expand and then contract would suffice. For example, first adding to an API while deprecating an existing element, and then only later removing the deprecated elements once consumers are switched to the newer schema. This approach does require some coordination and visibility of the API consumers, perhaps through a technique such as <a href=""""https://martinfowler.com/articles/consumerDrivenContracts.html"""">consumer-driven contract</a> testing.</p>""";;
"Continuous delivery for machine learning (CD4ML),Adopt,Techniques,FALSE,""<p>We see <strong><a href=""""https://martinfowler.com/articles/cd4ml.html"""">continuous delivery for machine learning (CD4ML)</a></strong> as a good default starting point for any ML solution that is being deployed into production. Many organizations are becoming more reliant on ML solutions for both customer offerings and internal operations so it makes sound business sense to apply the lessons and good practice captured by <a href=""""/radar/techniques/continuous-delivery-cd"""">continuous delivery (CD)</a> to ML solutions.</p>""";;;
"Service account rotation approach,Assess,Techniques,TRUE,""<p>We strongly advise organizations to make sure, when they really need to use cloud service accounts, that they are rotating the credentials. Rotation is one of <a href=""""/radar/techniques/the-three-rs-of-security"""">the three R's of security</a>. It is far too easy for organizations to forget about these accounts unless an incident occurs. This is leading to accounts with unnecessarily broad permissions remaining in use for long periods alongside a lack of planning for how to replace or rotate them. Regularly applying a cloud <strong>service account rotation approach</strong> also provides a chance to exercise the principle of least privilege.</p>""";;;
"Cloud sandboxes,Assess,Techniques,TRUE,""<p>As the cloud is becoming more and more a commodity and being able to spin up <strong>cloud sandboxes</strong> is easier and available at scale, our teams prefer cloud-only (as opposed to local) development environments to reduce maintenance complexity. We're seeing that the tooling to do local simulation of cloud-native services limits the confidence in developer build and test cycles";" therefore, we're looking to focus on standardizing cloud sandboxes over running cloud-native components on a developer machine. This will drive good <a href=""""/radar/techniques/infrastructure-as-code"""">infrastructure-as-code</a> practices as a forcing function and good onboarding processes for provisioning sandbox environments for developers. There are risks associated with this transition, as it assumes that developers will have an absolute dependency on cloud environment availability, and it may slow down the developer feedback loop. We strongly recommend you adopt some lean governance practices regarding standardization of these sandbox environments, especially with regard to security, IAM and regional deployments.</p>""";;
"GitOps,Trial,Techniques,TRUE,""<p>We suggest approaching <strong>GitOps</strong> with a degree of care, especially with regard to branching strategies. GitOps can be seen as a way of implementing <a href=""""/radar/techniques/infrastructure-as-code"""">infrastructure as code</a> that involves continuously synchronizing and applying infrastructure code from <a href=""""/radar/tools/git"""">Git</a> into various environments. When used with a """"branch per environment"""" infrastructure, changes are promoted from one environment to the next by merging code. While treating code as the single source of truth is clearly a sound approach, we're seeing branch per environment lead to environmental drift and eventually environment-specific configs as code merges become problematic or even stop entirely. This is very similar to what we've seen in the past with <a href=""""/radar/techniques/long-lived-branches-with-gitflow"""">long-lived branches with GitFlow</a>.</p>""";;;
"Peer Review of Production Changes,Trial,Techniques,TRUE,""<p>Some organizations seem to think <strong>peer review equals pull request</strong>";" they've taken the view that the only way to achieve a peer review of code is via a pull request. We've seen this approach create significant team bottlenecks as well as significantly degrade the quality of feedback as overloaded reviewers begin to simply reject requests. Although the argument could be made that this is one way to demonstrate code review """"regulatory compliance"""" one of our clients was told this was invalid since there was no evidence the code was actually read by anyone prior to acceptance. Pull requests are only one way to manage the code review workflow";" we urge people to consider other approaches, especially where there is a need to coach and pass on feedback carefully.</p>""";
Trunk based development,Adopt,Techniques,TRUE,;;;
Branch Per Feature Deployment,Assess,Techniques,TRUE,;;;
Service Levels (SLx),Adopt,Techniques,TRUE,;;;
Agentes Efimeros (VMs),Trial,Techniques,TRUE,;;;
IaC,Adopt,Techniques,TRUE,;;;
Version Control For All Production Artifacts,Trial,Techniques,TRUE,;;;
Automated Acceptance Testing,Trial,Techniques,TRUE,;;;
Foro Arq DevSecOps,Adopt,Techniques,TRUE,;;;
Continuous Testing,Trial,Techniques,TRUE,;;;
Immutable infrastructure,Assess,Techniques,TRUE,;;;
Dast / Sast scaning,Adopt,Techniques,TRUE,;;;
Security as a Value Stream,Trial,Techniques,TRUE,;;;
Compliance Monitoring,Assess,Techniques,TRUE,;;;
